NAME,COSTT4_A_1996,ADM_RATE_1996,SAT_AVG_1996,GT_25K_P6_1996,MN_EARN_WNE_P6_1996,COSTT4_A_1997,ADM_RATE_1997,SAT_AVG_1997,GT_25K_P6_1997,MN_EARN_WNE_P6_1997,COSTT4_A_1998,ADM_RATE_1998,SAT_AVG_1998,GT_25K_P6_1998,MN_EARN_WNE_P6_1998,COSTT4_A_1999,ADM_RATE_1999,SAT_AVG_1999,GT_25K_P6_1999,MN_EARN_WNE_P6_1999,COSTT4_A_2000,ADM_RATE_2000,SAT_AVG_2000,GT_25K_P6_2000,MN_EARN_WNE_P6_2000,COSTT4_A_2001,ADM_RATE_2001,SAT_AVG_2001,GT_25K_P6_2001,MN_EARN_WNE_P6_2001,COSTT4_A_2002,ADM_RATE_2002,SAT_AVG_2002,GT_25K_P6_2002,MN_EARN_WNE_P6_2002,COSTT4_A_2003,ADM_RATE_2003,SAT_AVG_2003,GT_25K_P6_2003,MN_EARN_WNE_P6_2003,COSTT4_A_2004,ADM_RATE_2004,SAT_AVG_2004,GT_25K_P6_2004,MN_EARN_WNE_P6_2004,COSTT4_A_2005,ADM_RATE_2005,SAT_AVG_2005,GT_25K_P6_2005,MN_EARN_WNE_P6_2005,COSTT4_A_2006,ADM_RATE_2006,SAT_AVG_2006,GT_25K_P6_2006,MN_EARN_WNE_P6_2006,COSTT4_A_2007,ADM_RATE_2007,SAT_AVG_2007,GT_25K_P6_2007,MN_EARN_WNE_P6_2007,COSTT4_A_2008,ADM_RATE_2008,SAT_AVG_2008,GT_25K_P6_2008,MN_EARN_WNE_P6_2008,COSTT4_A_2009,ADM_RATE_2009,SAT_AVG_2009,GT_25K_P6_2009,MN_EARN_WNE_P6_2009,COSTT4_A_2010,ADM_RATE_2010,SAT_AVG_2010,GT_25K_P6_2010,MN_EARN_WNE_P6_2010,COSTT4_A_2011,ADM_RATE_2011,SAT_AVG_2011,GT_25K_P6_2011,MN_EARN_WNE_P6_2011,COSTT4_A_2012,ADM_RATE_2012,SAT_AVG_2012,GT_25K_P6_2012,MN_EARN_WNE_P6_2012,COSTT4_A_2013,ADM_RATE_2013,SAT_AVG_2013,GT_25K_P6_2013,MN_EARN_WNE_P6_2013,COSTT4_A_2014,ADM_RATE_2014,SAT_AVG_2014,GT_25K_P6_2014,MN_EARN_WNE_P6_2014,COSTT4_A_2015,ADM_RATE_2015,SAT_AVG_2015,GT_25K_P6_2015,MN_EARN_WNE_P6_2015
Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1245,1445,NULL,NULL,NULL,0.1174,1472,NULL,NULL,NULL,0.1018,1465,0.78841310739517,64700,NULL,0.1265,1480,NULL,NULL,NULL,0.1094,1480,0.82105261087417,67400,NULL,0.1019,1474,NULL,NULL,NULL,0.097,1477,0.82624113559722,72400,NULL,0.0993,1478,NULL,NULL,49830,0.1006,1482,0.81081080436706,78000,51260,0.088,1485,NULL,NULL,52715,0.0846,1487,0.75483870506286,71600,53934,0.0785,1492,0.792,75600,55430,0.0741,1495,0.826,73700,57400,0.0744,1491,NULL,NULL,59665,0.0714,1490,NULL,NULL
Harvard University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1071,1477,NULL,NULL,NULL,0.1017,1484,NULL,NULL,NULL,0.0998,1488,0.83464568853378,83000,NULL,0.1043,1484,NULL,NULL,NULL,0.0891,1480,0.83246976137161,87400,NULL,0.0892,1483,NULL,NULL,NULL,0.0884,1491,0.88026881217956,112400,NULL,0.0765,1482,NULL,NULL,50250,0.0719,1468,0.87250995635986,102200,52000,0.0723,1478,NULL,NULL,53950,0.0626,1485,0.87620770931243,106300,56000,0.0581,1497,0.858,100300,57950,0.0584,1501,0.875,96800,59950,0.0596,1501,NULL,NULL,62250,0.0558,1497,NULL,NULL
University of Chicago,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4375,1382,NULL,NULL,NULL,0.4151,1403,NULL,NULL,NULL,0.3962,1377,0.7882353067398,58600,NULL,0.4003,1407,NULL,NULL,NULL,0.4026,1421,0.77441543340683,59700,NULL,0.4024,1440,NULL,NULL,NULL,0.3848,1403,0.80081713199615,76600,NULL,0.2791,1397,NULL,NULL,52450,0.2734,1425,0.80336135625839,73700,55195,0.1882,1458,NULL,NULL,57590,0.1626,1468,0.77954733371734,69800,59950,0.1322,1469,0.822,71700,62425,0.0881,1504,0.831,75200,64988,0.0876,1505,NULL,NULL,67572,0.0838,1506,NULL,NULL
Yale University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1617,NULL,NULL,NULL,NULL,0.1376,NULL,NULL,NULL,NULL,0.1299,1465,0.74749165773391,55500,NULL,0.1136,1471,NULL,NULL,NULL,0.0995,1471,0.80376768112182,65800,NULL,0.0967,1474,NULL,NULL,NULL,0.089,1471,0.78688526153564,68400,NULL,0.0989,1481,NULL,NULL,51400,0.0856,1475,0.82471513748168,83500,52950,0.0753,1473,NULL,NULL,55300,0.0788,1497,0.81895732879638,76400,58250,0.0773,1488,0.822,75500,59320,0.0705,1497,0.828,74600,61620,0.063,1493,NULL,NULL,63970,0.0673,1498,NULL,NULL
Columbia University in the City of New York,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1403,1420,NULL,NULL,NULL,0.1358,1425,0.8151398897171,65300,NULL,0.1318,1435,NULL,NULL,NULL,0.1279,1429,0.80738991498947,70000,NULL,0.1157,1429,NULL,NULL,NULL,0.1157,1423,0.83437889814376,82700,NULL,0.1057,1422,NULL,NULL,51406,0.1101,1445,0.84053927659988,82600,54294,0.0984,1457,NULL,NULL,56681,0.0954,1471,0.82343870401382,79300,59208,0.0695,1486,0.835,77000,61540,0.0742,1471,0.855,79000,64144,0.0695,1470,NULL,NULL,66604,0.0661,1473,NULL,NULL
Massachusetts Institute of Technology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1704,1485,NULL,NULL,NULL,0.1617,1490,NULL,NULL,NULL,0.1645,1473,0.86274510622024,76600,NULL,0.1591,1477,NULL,NULL,NULL,0.1431,1491,0.88499301671981,79900,NULL,0.1331,1460,NULL,NULL,NULL,0.1248,1464,0.87294471263885,99200,NULL,0.1186,1464,NULL,NULL,50100,0.107,1472,0.88933330774307,107300,52000,0.1008,1486,NULL,NULL,53210,0.0973,1490,0.87272727489471,106900,55270,0.0895,1490,0.862,102700,57010,0.0815,1503,0.872,100800,59020,0.0788,1500,NULL,NULL,61030,0.083,1507,NULL,NULL
Stanford University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1263,1441,NULL,NULL,NULL,0.1273,1431,NULL,NULL,NULL,0.1258,1439,0.79640042781829,63800,NULL,0.1297,1450,NULL,NULL,NULL,0.1201,1440,0.81765389442443,78400,NULL,0.1094,1423,NULL,NULL,NULL,0.1028,1430,0.83577406406402,89300,NULL,0.0949,1432,NULL,NULL,51760,0.0797,1436,0.86591696739196,90700,54009,0.0731,1452,NULL,NULL,55918,0.071,1446,0.86842107772827,102300,57755,0.0661,1465,0.866,94900,58408,0.0569,1466,0.871,95200,60311,0.0509,1465,NULL,NULL,62363,0.0504,1479,NULL,NULL
University of Pennsylvania,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2157,1400,NULL,NULL,NULL,0.2101,1399,NULL,NULL,NULL,0.2038,1405,0.84170997142791,67700,NULL,0.2121,1405,NULL,NULL,NULL,0.2079,1420,0.85216343402862,75800,NULL,0.1764,1392,NULL,NULL,NULL,0.1602,1414,0.88450962305068,87200,NULL,0.1693,1418,NULL,NULL,51299,0.1771,1436,0.875,91900,53250,0.1426,1435,NULL,NULL,55250,0.1243,1435,0.89132905006408,92300,57360,0.126,1439,0.888,89000,59600,0.1224,1442,0.897,89000,61800,0.1037,1452,NULL,NULL,64200,0.1016,1457,NULL,NULL
Duke University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2628,1410,NULL,NULL,NULL,0.2316,1420,0.82537519931793,65300,NULL,0.2143,1424,NULL,NULL,NULL,0.2208,1418,0.80659025907516,63200,NULL,0.2373,1448,NULL,NULL,NULL,0.227,1427,0.86580085754394,86000,NULL,0.2297,1430,NULL,NULL,50974,0.2238,1440,0.84894257783889,85500,53035,0.1886,1432,NULL,NULL,55150,0.1648,1435,0.8659490942955,87600,57325,0.1399,1435,0.874,86900,59528,0.1342,1444,0.885,88200,61748,0.1141,1454,NULL,NULL,63999,0.1142,1450,NULL,NULL
California Institute of Technology,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.153,1520,NULL,NULL,NULL,0.2141,1525,NULL,NULL,NULL,0.1693,1520,0.79591834545135,66000,NULL,0.205,1510,NULL,NULL,NULL,0.205,1510,0.74285715818405,62100,NULL,0.1721,1520,NULL,NULL,NULL,0.1688,1517,0.7878788113594,65600,NULL,0.1736,1514,NULL,NULL,48990,0.1527,1514,0.76344084739685,59800,49968,0.1255,1528,NULL,NULL,52389,0.1277,1520,0.75268816947937,64000,54090,0.1277,1520,0.793,85500,56382,0.1055,1534,0.805,82300,58755,0.0883,1545,NULL,NULL,60990,0.0881,1544,NULL,NULL
Dartmouth College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2141,1425,NULL,NULL,NULL,0.205,NULL,NULL,NULL,NULL,0.1818,1430,0.78275293111801,54600,NULL,0.1852,1439,NULL,NULL,NULL,0.1682,1445,0.78870671987533,58000,NULL,0.1568,1441,NULL,NULL,NULL,0.1568,1441,0.8143812417984,66800,NULL,0.1528,1435,NULL,NULL,50547,0.1347,1432,0.77650898694992,67700,52973,0.1257,1444,NULL,NULL,55386,0.1168,1454,0.83333331346511,70500,58638,0.1014,1446,0.827,69900,61398,0.0978,1446,0.834,68200,63279,0.115,1444,NULL,NULL,65133,0.1097,1437,NULL,NULL
Johns Hopkins University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3431,1405,NULL,NULL,NULL,0.3506,1369,NULL,NULL,NULL,0.306,1380,0.79459458589553,56800,NULL,0.3071,1380,NULL,NULL,NULL,0.3509,1378,0.82239383459091,62700,NULL,0.2792,1373,NULL,NULL,NULL,0.2571,1380,0.85492801666259,64500,NULL,0.2609,1395,NULL,NULL,51478,0.2782,1395,0.84436160326004,64700,53390,0.2225,1390,NULL,NULL,55390,0.194,1393,0.85175663232803,63300,57442,0.1843,1403,0.856,65200,58980,0.1813,1418,0.875,68300,61481,0.1608,1439,NULL,NULL,63509,0.1412,1453,NULL,NULL
Northwestern University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3278,1380,NULL,NULL,NULL,0.3417,1390,NULL,NULL,NULL,0.3291,1379,0.78041958808898,53900,NULL,0.3326,1390,NULL,NULL,NULL,0.2995,1399,0.81568312644958,56600,NULL,0.2973,1399,NULL,NULL,NULL,0.2956,1399,0.82629430294036,66700,NULL,0.2678,1431,NULL,NULL,52080,0.262,1427,0.80186337232589,67500,53983,0.2715,1434,NULL,NULL,56406,0.2313,1438,0.83421206474304,65600,58829,0.1803,1452,0.837,67300,60729,0.1532,1458,0.848,70400,63028,0.1311,1461,NULL,NULL,65436,0.1304,1460,NULL,NULL
Brown University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1622,1382,NULL,NULL,NULL,0.1686,1382,NULL,NULL,NULL,0.159,1379,0.79658383131027,53900,NULL,0.1639,1397,NULL,NULL,NULL,0.1511,1417,0.76241135597229,53800,NULL,0.1382,1423,NULL,NULL,NULL,0.1398,1414,0.78536587953567,58900,NULL,0.1371,1413,NULL,NULL,50560,0.1117,1420,0.78058511018753,55400,52030,0.0934,1415,NULL,NULL,54370,0.0891,1387,0.76496350765228,54400,56150,0.096,1419,0.752,56000,58140,0.0918,1425,0.786,61400,60460,0.0874,1435,NULL,NULL,62694,0.0949,1457,NULL,NULL
Cornell University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2593,1399,NULL,NULL,NULL,0.2801,1399,NULL,NULL,NULL,0.3099,1367,0.82826888561248,57700,NULL,0.2944,1382,NULL,NULL,NULL,0.2708,1378,0.82983374595642,62100,NULL,0.2468,1377,NULL,NULL,NULL,0.214,1385,0.84304553270339,71100,NULL,0.2066,1395,NULL,NULL,50384,0.191,1391,0.83488178253173,68800,52406,0.1836,1394,NULL,NULL,54667,0.1797,1394,0.83533602952957,68900,57116,0.1655,1410,0.835,66300,59572,0.1556,1422,0.851,68400,61608,0.1419,1422,NULL,NULL,63596,0.1507,1428,NULL,NULL
University of California-Berkeley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2644,1320,NULL,NULL,NULL,0.2469,1305,NULL,NULL,NULL,0.2389,1315,0.75349104404449,49700,NULL,0.2387,1291,NULL,NULL,NULL,0.2465,1308,0.78890925645828,55000,NULL,0.2652,1315,NULL,NULL,NULL,0.2376,1299,0.80502599477767,60500,NULL,0.2322,1314,NULL,NULL,26275,0.2146,1318,0.76037091016769,53000,28602,0.2162,1334,NULL,NULL,30800,0.2143,1349,0.73572593927383,51600,32445,0.2161,1361,0.733,51200,32715,0.18,1350,0.755,53300,33020,0.1602,1382,NULL,NULL,33993,0.1688,1397,NULL,NULL
University of California-Davis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6323,1163,NULL,NULL,NULL,0.6284,1154,NULL,NULL,NULL,0.6291,1175,0.77884328365325,47700,NULL,0.5676,1165,NULL,NULL,NULL,0.5494,1161,0.79315668344497,48200,NULL,0.6075,1160,NULL,NULL,NULL,0.6783,1142,0.81133604049682,50800,NULL,0.5861,1145,NULL,NULL,24599,0.5257,1166,0.73774302005767,45900,26566,0.4737,1192,NULL,NULL,28950,0.4627,1202,0.70149552822113,42400,30771,0.4826,1208,0.696,41700,31803,0.4521,1192,0.704,42600,32638,0.4037,1226,NULL,NULL,33271,0.3795,1226,NULL,NULL
University of California-Irvine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5911,1160,NULL,NULL,NULL,0.5911,1160,NULL,NULL,NULL,0.5667,1185,0.75946545600891,45100,NULL,0.5379,1180,NULL,NULL,NULL,0.5214,1188,0.77397882938385,46100,NULL,0.6037,1183,NULL,NULL,NULL,0.6035,1171,0.78621768951416,47300,NULL,0.556,1160,NULL,NULL,23283,0.4872,1172,0.72428697347641,43200,24800,0.4415,1176,NULL,NULL,27346,0.4521,1179,0.6907530426979,39700,28781,0.4746,1143,0.684,39600,28980,0.4239,1122,0.711,41800,29759,0.3742,1168,NULL,NULL,30796,0.3868,1175,NULL,NULL
University of California-Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2689,1280,NULL,NULL,NULL,0.2689,1259,NULL,NULL,NULL,0.2407,1265,0.73767846822738,48100,NULL,0.2351,1261,NULL,NULL,NULL,0.2299,1274,0.76999998092651,52200,NULL,0.2691,1275,NULL,NULL,NULL,0.2576,1275,0.78132820129394,53600,NULL,0.2357,1275,NULL,NULL,24725,0.2284,1266,0.74106365442276,50500,26809,0.2187,1266,NULL,NULL,29240,0.2554,1289,0.71555268764495,46800,31216,0.2711,1289,0.718,47000,31474,0.2199,1289,0.734,49600,32074,0.1856,1330,NULL,NULL,32594,0.1728,1339,NULL,NULL
University of California-Riverside,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8536,1065,NULL,NULL,NULL,0.8536,1065,NULL,NULL,NULL,0.8186,1060,0.75926864147186,43400,NULL,0.84,1048,NULL,NULL,NULL,0.7352,1055,0.75796848535537,42700,NULL,0.7975,1052,NULL,NULL,NULL,0.8637,1028,0.73837047815322,41400,NULL,0.8668,1028,NULL,NULL,23036,0.8426,1036,0.67447626590728,37300,24507,0.8376,1051,NULL,NULL,27146,0.7588,1037,0.62736135721206,34200,28809,0.6816,1064,0.618,34200,29787,0.62,1078,0.638,35000,30174,0.5829,1128,NULL,NULL,30943,0.556,1119,NULL,NULL
University of California-San Diego,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4324,1270,NULL,NULL,NULL,0.4239,1270,NULL,NULL,NULL,0.4134,1260,0.76890158653259,45600,NULL,0.3723,1242,NULL,NULL,NULL,0.3932,1243,0.79571539163589,47300,NULL,0.4257,1243,NULL,NULL,NULL,0.4557,1234,0.80146414041519,50400,NULL,0.4224,1230,NULL,NULL,23433,0.3988,1247,0.74635797739028,45800,25246,0.3621,1253,NULL,NULL,27700,0.3788,1268,0.7097732424736,42000,29194,0.3535,1226,0.706,41700,29751,0.375,1276,0.729,43500,30092,0.3329,1313,NULL,NULL,30837,0.3374,1344,NULL,NULL
University of California-Santa Barbara,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5002,1195,NULL,NULL,NULL,0.5002,1195,NULL,NULL,NULL,0.5101,1160,0.75381195545196,43500,NULL,0.5301,1185,NULL,NULL,NULL,0.531,1166,0.77324265241622,45700,NULL,0.5283,1186,NULL,NULL,NULL,0.534,1162,0.78141468763351,45600,NULL,0.544,1179,NULL,NULL,26336,0.4925,1182,0.72200983762741,41600,27838,0.4815,1195,NULL,NULL,30224,0.4547,1205,0.67090356349945,38100,31603,0.4631,1218,0.68,38100,31913,0.4444,1212,0.698,39500,33826,0.3634,1253,NULL,NULL,34496,0.3264,1248,NULL,NULL
University of California-Santa Cruz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8046,1137,NULL,NULL,NULL,0.8075,1140,NULL,NULL,NULL,0.8261,1185,0.64676409959793,37300,NULL,0.7894,1132,NULL,NULL,NULL,0.6857,1151,0.67087543010711,36900,NULL,0.7427,1147,NULL,NULL,NULL,0.795,1130,0.6839056611061,37500,NULL,0.8113,1127,NULL,NULL,25875,0.717,1143,0.6292176246643,35300,27971,0.6355,1149,NULL,NULL,30670,0.6382,1126,0.58724468946456,32900,32914,0.6729,1129,0.591,33400,33208,0.5991,1087,0.607,35200,33036,0.5572,1149,NULL,NULL,34124,0.5029,1201,NULL,NULL
